Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
HSBA.L,LONG,Bolsa de Londres (FTSE),2025-07-10 08:00:00,2025-07-24 14:00:00,913.7,930.6357,10.9445,10000.0,1.85%,185.35,TRAILING_STOP,94.66000366210938%
DOM,LONG,Bolsa Española (IBEX),2025-07-10 09:00:00,2025-07-21 09:00:00,3.22,3.3642,3553.0,11441.54,4.48%,500.94,TRAILING_STOP,97.8%
ETH-USD,LONG,Criptomonedas (ETFs),2025-07-11 13:00:00,2025-07-12 14:00:00,3007.6833,2928.6538,3.3248,10000.0,-2.63%,-262.76,TIEMPO_MAX,97.12000274658203%
IDR,LONG,Bolsa Española (IBEX),2025-07-14 09:00:00,2025-07-23 17:00:00,38.42,37.2708,1177.0,45206.03,-2.99%,-1397.39,TRAILING_STOP,97.02%
BARC.L,LONG,Bolsa de Londres (FTSE),2025-07-15 11:00:00,2025-07-31 13:00:00,344.5,374.228,29.0276,10000.0,8.63%,862.93,TIEMPO_MAX,93.83999633789062%
BP.L,LONG,Bolsa de Londres (FTSE),2025-07-16 11:00:00,2025-08-01 13:00:00,400.25,400.1,24.9844,10000.0,-0.04%,-3.75,TIEMPO_MAX,97.3499984741211%
FCC,LONG,Bolsa Española (IBEX),2025-07-17 09:00:00,2025-07-31 16:00:00,11.22,11.1699,949.0,10645.77,-0.45%,-58.18,TRAILING_STOP,96.68%
MRL,LONG,Bolsa Española (IBEX),2025-07-17 09:00:00,2025-08-08 15:00:00,11.49,13.23,927.0,10645.77,15.14%,1601.51,TIEMPO_MAX,95.95%
LDA,LONG,Bolsa Española (IBEX),2025-07-17 09:00:00,2025-08-11 12:00:00,1.352,1.374,7874.0,10645.77,1.63%,162.58,TIEMPO_MAX,95.17%
CIE,LONG,Bolsa Española (IBEX),2025-07-17 09:00:00,2025-08-08 15:00:00,24.1,25.85,442.0,10645.77,7.26%,762.39,TIEMPO_MAX,96.83%
ETH-USD,LONG,Criptomonedas (ETFs),2025-07-17 12:00:00,2025-07-18 13:00:00,3428.8625,3645.386,2.9164,10000.0,6.31%,631.47,TIEMPO_MAX,94.66999816894531%
AMD,LONG,Bolsa Americana (NASDAQ),2025-07-17 13:30:00,2025-07-22 13:30:00,160.26,150.8746,62.3986,10000.0,-5.86%,-585.63,TRAILING_STOP,97.81999969482422%
TSLA,LONG,Bolsa Americana (NASDAQ),2025-07-18 18:30:00,2025-07-24 13:30:00,328.84,317.0778,30.4099,10000.0,-3.58%,-357.69,TRAILING_STOP,95.75%
ROVI,LONG,Bolsa Española (IBEX),2025-07-21 09:00:00,2025-07-31 14:00:00,52.65,54.9045,229.0,12072.79,4.28%,504.89,TRAILING_STOP,96.19%
RIO.L,LONG,Bolsa de Londres (FTSE),2025-07-23 15:00:00,2025-07-28 13:00:00,4735.5,4585.418,2.1117,10000.0,-3.17%,-316.93,TRAILING_STOP,96.52999877929688%
ENG,LONG,Bolsa Española (IBEX),2025-07-24 09:00:00,2025-08-15 15:00:00,13.41,13.235,1784.0,23916.88,-1.3%,-336.03,TIEMPO_MAX,96.48%
ENC,LONG,Bolsa Española (IBEX),2025-07-24 09:00:00,2025-08-01 09:00:00,2.88,2.7481,4152.0,11958.44,-4.58%,-559.8,TRAILING_STOP,97.12%
NTGY,LONG,Bolsa Española (IBEX),2025-07-24 09:00:00,2025-08-05 09:00:00,27.24,26.2899,878.0,23916.88,-3.49%,-858.11,TRAILING_STOP,96.39%
AAPL,LONG,Bolsa Americana (NASDAQ),2025-07-24 19:30:00,2025-08-01 16:30:00,213.76,201.9166,46.7814,10000.0,-5.54%,-554.05,TRAILING_STOP,96.44000244140625%
ACX,LONG,Bolsa Española (IBEX),2025-07-28 09:00:00,2025-08-19 15:00:00,10.35,10.93,2323.0,24040.24,5.6%,1323.14,TIEMPO_MAX,97.95%
GSK.L,LONG,Bolsa de Londres (FTSE),2025-07-28 13:00:00,2025-07-31 13:00:00,1392.0,1406.6112,7.1839,10000.0,1.05%,104.97,TRAILING_STOP,96.83999633789062%
