Ticker,Direccion,Regimen_Mercado,Fecha_Entrada,Fecha_Salida,Precio_Entrada,Precio_Salida,Volumen_Acciones,Exposicion_EUR,Ganancia_Pct,PnL_Neto_EUR,Motivo_Salida,Confianza_IA
NTGY,LONG,BULL,2025-07-24 09:00:00,2025-08-05 09:00:00,27.24,26.2899,878,23916.88,-3.49%,-858.11,TRAILING_STOP,96.39%
ACX,LONG,BULL,2025-07-28 09:00:00,2025-08-19 15:00:00,10.35,10.93,2323,24040.24,5.6%,1323.14,TIEMPO_MAX,97.95%
ELE,LONG,BULL,2025-07-31 17:00:00,2025-08-25 14:00:00,25.34,26.52,952,24111.72,4.66%,1098.69,TIEMPO_MAX,93.07%
MTS,LONG,BULL,2025-08-04 09:00:00,2025-08-21 12:00:00,26.94,28.6618,428,11530.63,6.39%,725.44,TRAILING_STOP,97.8%
FDR,LONG,BULL,2025-08-07 09:00:00,2025-08-29 15:00:00,22.66,24.52,1012,22929.46,8.21%,1859.19,TIEMPO_MAX,97.95%
NTGY,LONG,BULL,2025-08-11 09:00:00,2025-09-02 15:00:00,26.28,26.76,886,23292.55,1.83%,402.14,TIEMPO_MAX,98.1%
CIE,LONG,BULL,2025-08-14 09:00:00,2025-09-05 15:00:00,26.25,27.25,463,12144.54,3.81%,450.5,TIEMPO_MAX,95.9%
VIS,LONG,BULL,2025-08-18 09:00:00,2025-09-09 15:00:00,59.8,60.9,203,12117.66,1.84%,210.78,TIEMPO_MAX,96.73%
COL,LONG,BULL,2025-08-18 09:00:00,2025-09-02 11:00:00,5.795,5.5377,2091,12117.66,-4.44%,-550.15,TRAILING_STOP,96.39%
ALM,LONG,BULL,2025-08-21 09:00:00,2025-09-12 16:00:00,11.12,11.14,1099,12223.51,0.18%,9.76,TIEMPO_MAX,97.02%
ANE,LONG,BULL,2025-08-21 09:00:00,2025-08-28 09:00:00,24.04,22.9101,508,12223.51,-4.7%,-586.73,TRAILING_STOP,95.46%
TRE,LONG,BULL,2025-08-21 15:00:00,2025-09-05 15:00:00,21.92,21.6405,560,12281.55,-1.28%,-168.88,TRAILING_STOP,93.07%
TEF,LONG,BULL,2025-08-28 09:00:00,2025-09-19 15:00:00,4.605,4.517,9633,44361.02,-1.91%,-892.08,TIEMPO_MAX,96.0%
LDA,LONG,BULL,2025-09-01 09:00:00,2025-09-18 09:00:00,1.33,1.2701,9002,11972.39,-4.51%,-551.36,TRAILING_STOP,96.83%
DOM,LONG,BULL,2025-09-01 09:00:00,2025-09-24 09:00:00,3.255,3.39,3678,11972.39,4.15%,484.58,TIEMPO_MAX,96.34%
ELE,LONG,BULL,2025-09-04 09:00:00,2025-09-26 15:00:00,25.75,26.82,968,24918.8,4.16%,1010.54,TIEMPO_MAX,96.88%
FCC,LONG,BULL,2025-09-04 09:00:00,2025-09-16 13:00:00,11.02,11.0754,1042,11482.58,0.5%,46.24,TRAILING_STOP,96.83%
AENA,LONG,BULL,2025-09-08 09:00:00,2025-09-18 11:00:00,24.46,23.6061,1021,24963.86,-3.49%,-896.45,TRAILING_STOP,97.66%
CIE,LONG,BULL,2025-09-11 09:00:00,2025-10-03 15:00:00,27.05,27.0,462,12498.79,-0.18%,-35.6,TIEMPO_MAX,96.0%
PHM,LONG,BULL,2025-09-15 09:00:00,2025-09-18 12:00:00,88.3,88.4048,142,12499.57,0.12%,2.33,TRAILING_STOP,95.8%
VIS,LONG,BULL,2025-09-18 09:00:00,2025-10-10 15:00:00,59.0,58.6,211,12459.16,-0.68%,-96.93,TIEMPO_MAX,97.85%
AENA,LONG,BULL,2025-09-22 09:00:00,2025-10-08 12:00:00,23.44,22.3383,1009,23647.23,-4.7%,-1135.07,TRAILING_STOP,97.9%
LDA,LONG,BULL,2025-09-22 09:00:00,2025-10-15 10:00:00,1.254,1.256,9822,12316.27,0.16%,7.33,TIEMPO_MAX,97.71%
MTS,LONG,BULL,2025-09-22 09:00:00,2025-10-01 09:00:00,30.13,30.3818,409,12316.27,0.84%,90.59,TRAILING_STOP,97.12%
ROVI,LONG,BULL,2025-09-22 09:00:00,2025-09-25 16:00:00,59.1,56.3223,208,12316.27,-4.7%,-591.18,TRAILING_STOP,96.92%
PHM,LONG,BULL,2025-09-22 09:00:00,2025-09-26 09:00:00,88.7,85.0027,139,12316.27,-4.17%,-525.69,TRAILING_STOP,96.83%
FCC,LONG,BULL,2025-09-22 09:00:00,2025-10-16 09:00:00,11.1,11.18,1110,12316.27,0.72%,76.45,TIEMPO_MAX,96.09%
